Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0051093,0.051724355,2019-01-17,2020-01-01,1559.675510928
ABBT0051093,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0051093,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0051093,0.018103524,2017-01-17,2017-01-17,0.0
ABBT0051093,0.0168104155,2019-01-17,2020-01-01,506.8945448207999
ABBT0051093,0.0168104155,2019-01-17,2020-01-01,506.8945448207999
ABBT0051093,0.020689742,2018-01-17,2018-01-17,0.0
ABBT0051093,0.020689742,2018-01-17,2018-01-17,0.0
ABBT0051093,0.020689742,2018-01-17,2018-01-17,0.0
ABBT0051093,0.018103524,2019-01-17,2020-01-01,545.8864212864
ABBT0051093,0.018103524,2019-01-17,2020-01-01,545.8864212864
ABBT0051093,0.0168104155,2021-01-17,2021-01-17,0.0
ABBT0051093,0.0168104155,2021-01-17,2021-01-17,0.0
ABBT0051093,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0051093,0.041379484,2021-01-17,2021-01-17,0.0
ABBT0051093,0.041379484,2021-01-17,2021-01-17,0.0
ABBT0051093,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0051093,0.018103524,2018-01-17,2018-01-17,0.0
ABBT0051093,0.018103524,2018-01-17,2018-01-17,0.0
ABBT0051093,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0051093,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0051093,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0051093,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0051093,0.095690057,2020-01-17,2021-01-01,2893.6673236799998
ABBT0051093,0.051724355,2021-01-17,2021-01-17,0.0
ABBT0051093,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0051093,0.018103524,2018-01-17,2018-01-17,0.0
ABBT0051093,0.095690057,2021-01-17,2021-01-17,0.0
ABBT0051093,0.051724355,2019-01-17,2020-01-01,1559.675510928
ABBT0051093,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0051093,0.031034613,2018-01-17,2018-01-17,0.0
ABBT0051093,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0051093,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0051093,0.051724355,2017-01-17,2017-01-17,0.0
ABBT0051093,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0051093,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0051093,0.051724355,2018-01-17,2018-01-17,0.0
ABBT0051093,0.069827879,2019-01-17,2020-01-01,2105.5619322144003
ABBT0051093,0.069827879,2020-01-17,2021-01-01,2111.59506096
ABBT0051093,0.018103524,2018-01-17,2018-01-17,0.0
ABBT0051093,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0051093,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0051093,0.069827879,2020-01-17,2021-01-01,2111.59506096
ABBT0051093,0.031034613,2018-01-17,2018-01-17,0.0
ABBT0051093,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0051093,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0051093,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0051093,0.069827879,2017-01-17,2017-01-17,0.0
ABBT0051093,0.018103524,2019-01-17,2020-01-01,545.8864212864
ABBT0051093,0.031034613,2018-01-17,2018-01-17,0.0
ABBT0051093,0.095690057,2020-01-17,2021-01-01,2893.6673236799998
ABBT0051093,0.0349139395,2019-01-17,2020-01-01,1052.7809661072001
ABBT0051093,0.0349139395,2019-01-17,2020-01-01,1052.7809661072001
ABBT0051093,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0051093,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0051093,0.018103524,2017-01-17,2017-01-17,0.0
ABBT0051093,0.031034613,2018-01-17,2018-01-17,0.0
ABBT0051093,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0051093,0.0155173065,2022-01-17,2022-12-31,466.5619579968
ABBT0051093,0.0155173065,2022-01-17,2022-12-31,466.5619579968
ABBT0051093,0.069827879,2018-01-17,2018-01-17,0.0
ABBT0051093,0.041379484,2020-01-17,2021-01-01,1251.31559616
ABBT0051093,0.041379484,2020-01-17,2021-01-01,1251.31559616
ABBT0051093,0.051724355,2019-01-17,2020-01-01,1559.675510928
ABBT0051093,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0051093,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0051093,0.069827879,2020-01-17,2021-01-01,2111.59506096
ABBT0051093,0.095690057,2019-01-17,2020-01-01,2885.3997027552
ABBT0051093,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0051093,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0051093,0.051724355,2020-01-17,2021-01-01,1564.1444952000002
ABBT0051093,0.095690057,2019-01-17,2020-01-01,2885.3997027552
ABBT0051093,0.051724355,2018-01-17,2018-01-17,0.0
ABBT0051093,0.051724355,2019-01-17,2020-01-01,1559.675510928
ABBT0051093,0.050431246,2022-01-17,2022-12-31,1516.3263597312
ABBT0051093,0.050431246,2022-01-17,2022-12-31,1516.3263597312
ABBT0051093,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0051093,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0051093,0.018103524,2017-01-17,2017-01-17,0.0
ABBT0051093,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0051093,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0051093,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0051093,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0051093,0.095690057,2017-01-17,2017-01-17,0.0
ABBT0051093,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0051093,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0051093,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0051093,0.031034613,2018-01-17,2018-01-17,0.0
ABBT0051093,0.095690057,2020-01-17,2021-01-01,2893.6673236799998
ABBT0051093,0.031034613,2019-01-17,2020-01-01,935.8053065568
ABBT0051093,0.095690057,2018-01-17,2018-01-17,0.0
ABBT0051093,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0051093,0.031034613,2021-01-17,2021-01-17,0.0
