Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI Deployment Cost ($),OGI Sites flagged for Follow-Up,OGI Leaks tagged for repair,OGI Sites Visited,OGI Travel Time (Minutes),OGI Survey Time (Minutes)
2022-01-01,46950.11897,6929.63897,40020.48000,2876.00000,359,362,0,2,32,0.00000,400.00000,2876.00000,,32,3,180,300
2022-01-02,46951.11383,6930.63383,40020.48000,2876.00000,360,1,0,0,70,0.00000,0.00000,2876.00000,,70,3,180,360
2022-01-03,46951.11383,6930.63383,40020.48000,2876.00000,360,0,0,0,42,0.00000,0.00000,2876.00000,,42,3,180,300
2022-01-04,47244.87383,6930.63383,40314.24000,2876.00000,361,1,0,0,62,0.00000,0.00000,2876.00000,,62,3,180,360
2022-01-05,47247.78994,6933.54994,40314.24000,0.00000,362,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-06,47247.78994,6933.54994,40314.24000,0.00000,362,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-07,47354.21072,6936.29072,40417.92000,0.00000,364,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-08,47164.13072,6936.29072,40227.84000,0.00000,364,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-09,47172.53952,6944.69952,40227.84000,0.00000,365,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-10,47178.87562,6951.03562,40227.84000,0.00000,367,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-11,48045.89071,6954.05071,41091.84000,0.00000,369,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-12,48045.89071,6954.05071,41091.84000,0.00000,369,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-13,48045.89071,6954.05071,41091.84000,0.00000,369,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-14,47959.49071,6954.05071,41005.44000,0.00000,368,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-15,47872.01338,6970.25338,40901.76000,0.00000,367,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-16,46887.39514,5985.63514,40901.76000,5200.00000,344,3,26,0,0,5200.00000,0.00000,0.00000,,0,0,0,0
2022-01-17,44084.31741,3182.55741,40901.76000,12200.00000,285,3,61,0,0,12200.00000,0.00000,0.00000,,0,0,0,0
2022-01-18,44005.32086,2239.56086,41765.76000,8200.00000,245,1,41,0,0,8200.00000,0.00000,0.00000,,0,0,0,0
2022-01-19,42853.60514,1087.84514,41765.76000,10800.00000,193,2,54,0,0,10800.00000,0.00000,0.00000,,0,0,0,0
2022-01-20,42853.60514,1087.84514,41765.76000,0.00000,193,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-21,41990.45768,1088.69768,40901.76000,0.00000,192,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-22,41990.40794,1088.64794,40901.76000,0.00000,191,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-23,42360.68246,1458.92246,40901.76000,0.00000,192,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-24,42359.65653,1457.89653,40901.76000,0.00000,190,0,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-01-25,43381.13750,2185.61750,41195.52000,0.00000,192,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-26,43494.56297,2195.36297,41299.20000,0.00000,194,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-27,43598.24297,2195.36297,41402.88000,0.00000,195,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-28,43495.69940,2196.49940,41299.20000,0.00000,195,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-29,43542.82500,2243.62500,41299.20000,0.00000,196,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-30,43544.34585,2245.14585,41299.20000,0.00000,196,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-31,43924.50585,2245.14585,41679.36000,0.00000,198,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-01,44134.84292,2248.12292,41886.72000,0.00000,201,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-02,44134.98799,2248.26799,41886.72000,0.00000,202,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-03,45002.79683,2252.07683,42750.72000,0.00000,203,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-02-04,45053.70953,2302.98953,42750.72000,0.00000,205,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-05,45090.13960,2339.41960,42750.72000,0.00000,206,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-06,45966.20447,2351.48447,43614.72000,0.00000,208,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-07,45672.44447,2351.48447,43320.96000,0.00000,207,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-08,46088.75507,2681.39507,43407.36000,0.00000,209,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-09,46192.43507,2681.39507,43511.04000,0.00000,210,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-10,46192.43507,2681.39507,43511.04000,0.00000,210,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-11,46201.81441,2690.77441,43511.04000,0.00000,211,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-12,47152.21441,2690.77441,44461.44000,0.00000,213,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-13,46860.23371,2692.55371,44167.68000,0.00000,213,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-14,45996.23371,2692.55371,43303.68000,0.00000,212,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-15,45990.66459,2686.98459,43303.68000,0.00000,210,0,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
