Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),stationary_mdl_high Deployment Cost ($),stationary_mdl_high Sites flagged for Follow-Up,stationary_mdl_high Leaks tagged for repair,stationary_mdl_high Sites Visited,stationary_mdl_high Travel Time (Minutes),stationary_mdl_high Survey Time (Minutes),OGI_FU_mdl_high Deployment Cost ($),OGI_FU_mdl_high Sites flagged for Follow-Up,OGI_FU_mdl_high Leaks tagged for repair,OGI_FU_mdl_high Sites Visited,OGI_FU_mdl_high Travel Time (Minutes),OGI_FU_mdl_high Survey Time (Minutes)
2022-01-01,51566.86301,12548.62301,39018.24000,6030.00000,375,379,0,2,0.00000,0.00000,400.00000,6030,0,,10,0,0,0.00000,,0,0,0,0
2022-01-02,51915.16851,12793.24851,39121.92000,30.00000,380,6,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-03,51826.42076,12704.50076,39121.92000,30.00000,382,3,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-04,51832.26394,12710.34394,39121.92000,30.00000,383,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-05,51659.46394,12710.34394,38949.12000,30.00000,381,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-06,51642.03234,12692.91234,38949.12000,30.00000,381,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-07,51639.22289,12690.10289,38949.12000,30.00000,379,0,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-08,51636.37685,12687.25685,38949.12000,30.00000,379,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-09,51331.07423,12675.71423,38655.36000,30.00000,378,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-10,51230.52193,12661.56193,38568.96000,1030.00000,375,0,0,2,57.00000,0.00000,400.00000,30,10,,10,0,0,1000.00000,,57,3,120,360
2022-01-11,51268.01342,12699.05342,38568.96000,1030.00000,375,1,0,1,65.00000,0.00000,200.00000,30,0,,10,0,0,1000.00000,,65,3,120,360
2022-01-12,51268.01342,12699.05342,38568.96000,1030.00000,375,0,0,0,63.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,63,3,120,360
