Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),truck Deployment Cost ($),truck Sites flagged for Follow-Up,truck Leaks tagged for repair,truck Sites Visited,truck Travel Time (Minutes),truck Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,9488.84532,6796.65473,2692.19059,400.00000,3607,3622,0,11,0.00000,0.00000,2200.00000,400.00000,0,,10,180,270,0.00000,,0,0,0,0
2022-01-02,9506.27436,6805.36925,2700.90511,400.00000,3613,12,0,4,0.00000,0.00000,800.00000,400.00000,0,,10,180,270,0.00000,,0,0,0,0
2022-01-03,9523.70340,6814.08377,2709.61963,1400.00000,3618,10,0,3,62.00000,0.00000,600.00000,400.00000,9,,10,180,270,1000.00000,,62,3,120,360
2022-01-04,9518.45234,6803.35821,2715.09413,1400.00000,3618,10,0,9,55.00000,0.00000,1800.00000,400.00000,9,,10,180,270,1000.00000,,55,3,120,360
2022-01-05,9494.28258,6777.66155,2716.62104,1400.00000,3615,8,0,8,53.00000,0.00000,1600.00000,400.00000,9,,10,180,270,1000.00000,,53,3,120,360
2022-01-06,9494.28258,6777.66155,2716.62104,1400.00000,3615,6,0,3,59.00000,0.00000,600.00000,400.00000,9,,10,180,270,1000.00000,,59,3,120,360
2022-01-07,9482.88667,6774.53326,2708.35341,1400.00000,3611,5,0,7,49.00000,0.00000,1400.00000,400.00000,9,,10,180,270,1000.00000,,49,3,120,360
2022-01-08,9510.40817,6804.47545,2705.93271,1400.00000,3614,14,0,7,55.00000,0.00000,1400.00000,400.00000,9,,10,180,270,1000.00000,,55,3,120,360
2022-01-09,9487.72807,6795.76093,2691.96714,1400.00000,3613,9,0,5,60.00000,0.00000,1000.00000,400.00000,9,,10,180,270,1000.00000,,60,3,120,360
2022-01-10,9475.21492,6793.07954,2682.13537,1400.00000,3608,6,0,6,63.00000,0.00000,1200.00000,400.00000,9,,10,180,270,1000.00000,,63,3,120,360
