Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0114911,0.031034613,2022-11-10,2022-11-11,2.6813905632
ABBT0114911,0.073707206,2022-01-26,2022-01-27,6.368302598400001
ABBT0114911,0.073707206,2022-01-26,2022-01-27,6.368302598400001
ABBT0114911,0.002586218,2022-05-23,2022-05-24,0.2234492352
ABBT0114911,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0114911,0.031034613,2022-03-30,2022-03-31,2.6813905632
ABBT0114911,0.031034613,2022-02-13,2022-02-14,2.6813905632
ABBT0114911,0.069827879,2022-12-07,2022-12-08,6.0331287456
ABBT0114911,0.031034613,2022-09-17,2022-09-18,2.6813905632
ABBT0114911,0.031034613,2022-02-13,2022-02-14,2.6813905632
ABBT0114911,0.031034613,2022-02-04,2022-02-05,2.6813905632
ABBT0114911,0.031034613,2022-03-12,2022-03-13,2.6813905632
ABBT0114911,0.031034613,2022-10-14,2022-10-15,2.6813905632
ABBT0114911,0.031034613,2022-12-16,2022-12-17,2.6813905632
ABBT0114911,0.005172435,2022-02-22,2022-02-23,0.44689838400000004
ABBT0114911,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0114911,0.002586218,2022-05-23,2022-05-24,0.2234492352
ABBT0114911,0.005172435,2022-01-26,2022-01-27,0.44689838400000004
ABBT0114911,0.002586218,2022-11-10,2022-11-11,0.2234492352
ABBT0114911,0.005172435,2022-04-26,2022-04-27,0.44689838400000004
ABBT0114911,0.002586218,2022-10-05,2022-10-06,0.2234492352
ABBT0114911,0.031034613,2022-02-04,2022-02-05,2.6813905632
ABBT0114911,0.031034613,2022-11-19,2022-11-20,2.6813905632
ABBT0114911,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0114911,0.031034613,2022-04-26,2022-04-27,2.6813905632
ABBT0114911,0.095690057,2022-02-04,2022-02-05,8.267620924800001
ABBT0114911,0.031034613,2022-05-14,2022-05-15,2.6813905632
ABBT0114911,0.002586218,2022-02-04,2022-02-05,0.2234492352
ABBT0114911,0.018103524,2022-09-26,2022-09-27,1.5641444736
ABBT0114911,0.002586218,2022-06-19,2022-06-20,0.2234492352
ABBT0114911,0.031034613,2022-06-10,2022-06-11,2.6813905632
ABBT0114911,0.031034613,2022-03-03,2022-03-04,2.6813905632
ABBT0114911,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0114911,0.069827879,2022-02-04,2022-02-05,6.0331287456
ABBT0114911,0.005172435,2022-03-03,2022-03-04,0.44689838400000004
ABBT0114911,0.031034613,2022-02-04,2022-02-05,2.6813905632
ABBT0114911,0.031034613,2022-05-05,2022-05-06,2.6813905632
ABBT0114911,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0114911,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0114911,0.051724355,2022-06-10,2022-06-11,4.468984272
ABBT0114911,0.002586218,2022-12-25,2022-12-26,0.2234492352
ABBT0114911,0.031034613,2022-12-25,2022-12-26,2.6813905632
ABBT0114911,0.018103524,2022-07-25,2022-07-26,1.5641444736
ABBT0114911,0.031034613,2022-05-14,2022-05-15,2.6813905632
ABBT0114911,0.031034613,2022-08-30,2022-08-31,2.6813905632
ABBT0114911,0.002586218,2022-03-03,2022-03-04,0.2234492352
ABBT0160520,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0160520,0.005172435,2022-01-26,2022-01-27,0.44689838400000004
ABBT0160520,0.08275896799999999,2022-06-19,2022-06-20,7.150374835199999
ABBT0160520,0.08275896799999999,2022-06-19,2022-06-20,7.150374835199999
ABBT0160520,0.031034613,2022-10-05,2022-10-06,2.6813905632
ABBT0160520,0.031034613,2022-12-25,2022-12-26,2.6813905632
ABBT0160520,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0160520,0.031034613,2022-04-27,2022-04-28,2.6813905632
ABBT0160520,0.005172435,2022-01-26,2022-01-27,0.44689838400000004
ABBT0160520,0.031034613,2022-08-12,2022-08-13,2.6813905632
