Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0059014,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0059014,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0059014,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0059014,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0059014,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0059014,0.0168104155,2018-01-17,2019-01-01,506.8945448207999
ABBT0059014,0.0168104155,2018-01-17,2019-01-01,506.8945448207999
ABBT0059014,0.018103524,2021-01-17,2021-01-17,0.0
ABBT0059014,0.069827879,2020-01-17,2021-01-01,2111.59506096
ABBT0059014,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0059014,0.018103524,2021-01-17,2021-01-17,0.0
ABBT0059014,0.018103524,2021-01-17,2021-01-17,0.0
ABBT0059014,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0059014,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0059014,0.069827879,2018-01-17,2019-01-01,2105.5619322144003
ABBT0059014,0.018103524,2020-01-17,2021-01-01,547.45056576
ABBT0059014,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0059014,0.051724355,2017-01-17,2017-01-17,0.0
ABBT0059014,0.069827879,2021-01-17,2021-01-17,0.0
ABBT0059014,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0059014,0.095690057,2020-01-17,2021-01-01,2893.6673236799998
ABBT0059014,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0059014,0.051724355,2018-01-17,2019-01-01,1559.675510928
ABBT0059014,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0059014,0.095690057,2019-01-17,2019-01-17,0.0
ABBT0059014,0.095690057,2021-01-17,2021-01-17,0.0
ABBT0059014,0.095690057,2019-01-17,2019-01-17,0.0
ABBT0059014,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0059014,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0059014,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0059014,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0059014,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0059014,0.051724355,2021-01-17,2021-01-17,0.0
ABBT0059014,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0059014,0.069827879,2020-01-17,2021-01-01,2111.59506096
ABBT0059014,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0059014,0.069827879,2017-01-17,2017-01-17,0.0
ABBT0059014,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0059014,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0059014,0.018103524,2021-01-17,2021-01-17,0.0
ABBT0059014,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0059014,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0059014,0.018103524,2021-01-17,2021-01-17,0.0
ABBT0059014,0.095690057,2018-01-17,2019-01-01,2885.3997027552
ABBT0059014,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0059014,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0059014,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0059014,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0059014,0.051724355,2020-01-17,2021-01-01,1564.1444952000002
ABBT0059014,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0059014,0.069827879,2017-01-17,2017-01-17,0.0
ABBT0059014,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0059014,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0059014,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0059014,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0059014,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0059014,0.031034613,2020-01-17,2021-01-01,938.48669712
ABBT0059014,0.018103524,2017-01-17,2017-01-17,0.0
ABBT0059014,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0059014,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0059014,0.095690057,2017-01-17,2017-01-17,0.0
ABBT0059014,0.051724355,2018-01-17,2019-01-01,1559.675510928
ABBT0059014,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0059014,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0059014,0.031034613,2018-01-17,2019-01-01,935.8053065568
ABBT0059014,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0059014,0.031034613,2019-01-17,2019-01-17,0.0
ABBT0059014,0.069827879,2020-01-17,2021-01-01,2111.59506096
ABBT0059014,0.069827879,2018-01-17,2019-01-01,2105.5619322144003
ABBT0059014,0.018103524,2019-01-17,2019-01-17,0.0
ABBT0059014,0.069827879,2020-01-17,2021-01-01,2111.59506096
ABBT0059014,0.06336233499999999,2022-01-17,2022-12-31,1905.1279989119998
ABBT0059014,0.06336233499999999,2022-01-17,2022-12-31,1905.1279989119998
ABBT0059014,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0059014,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0059014,0.069827879,2021-01-17,2021-01-17,0.0
ABBT0059014,0.069827879,2019-01-17,2019-01-17,0.0
ABBT0059014,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0059014,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0059014,0.069827879,2020-01-17,2021-01-01,2111.59506096
ABBT0059014,0.031034613,2021-01-17,2021-01-17,0.0
ABBT0059014,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0059014,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0059014,0.031034613,2017-01-17,2017-01-17,0.0
ABBT0059014,0.018103524,2018-01-17,2019-01-01,545.8864212864
ABBT0059014,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT6440009,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT6440009,0.018103524,2017-01-18,2017-01-18,0.0
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.031034613,2021-01-18,2021-01-18,0.0
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.018103524,2018-01-18,2019-01-02,545.8864212864
ABBT6440009,0.069827879,2018-01-18,2019-01-02,2105.5619322144003
ABBT6440009,0.031034613,2019-01-18,2019-01-18,0.0
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.031034613,2018-01-18,2019-01-02,935.8053065568
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.018103524,2019-01-18,2019-01-18,0.0
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.031034613,2019-01-18,2019-01-18,0.0
ABBT6440009,0.031034613,2017-01-18,2017-01-18,0.0
ABBT6440009,0.031034613,2017-01-18,2017-01-18,0.0
ABBT6440009,0.018103524,2022-01-18,2022-12-31,542.7581323392001
ABBT6440009,0.031034613,2017-01-18,2017-01-18,0.0
ABBT6440009,0.031034613,2021-01-18,2021-01-18,0.0
ABBT6440009,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.0155173065,2020-01-18,2021-01-02,469.24334856
ABBT6440009,0.0155173065,2020-01-18,2021-01-02,469.24334856
ABBT6440009,0.069827879,2021-01-18,2021-01-18,0.0
ABBT6440009,0.031034613,2018-01-18,2019-01-02,935.8053065568
ABBT6440009,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT6440009,0.095690057,2022-01-18,2022-12-31,2868.8644609056005
ABBT6440009,0.018103524,2018-01-18,2019-01-02,545.8864212864
ABBT6440009,0.031034613,2019-01-18,2019-01-18,0.0
ABBT6440009,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT6440009,0.069827879,2019-01-18,2019-01-18,0.0
ABBT6440009,0.095690057,2018-01-18,2019-01-02,2885.3997027552
ABBT6440009,0.031034613,2018-01-18,2019-01-02,935.8053065568
ABBT6440009,0.018103524,2019-01-18,2019-01-18,0.0
ABBT6440009,0.095690057,2021-01-18,2021-01-18,0.0
ABBT6440009,0.031034613,2019-01-18,2019-01-18,0.0
ABBT6440009,0.095690057,2018-01-18,2019-01-02,2885.3997027552
ABBT6440009,0.018103524,2017-01-18,2017-01-18,0.0
ABBT6440009,0.031034613,2019-01-18,2019-01-18,0.0
ABBT6440009,0.095690057,2017-01-18,2017-01-18,0.0
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.095690057,2019-01-18,2019-01-18,0.0
ABBT6440009,0.031034613,2017-01-18,2017-01-18,0.0
ABBT6440009,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT6440009,0.018103524,2020-01-18,2021-01-02,547.45056576
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.031034613,2021-01-18,2021-01-18,0.0
ABBT6440009,0.031034613,2018-01-18,2019-01-02,935.8053065568
ABBT6440009,0.031034613,2017-01-18,2017-01-18,0.0
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.069827879,2019-01-18,2019-01-18,0.0
ABBT6440009,0.031034613,2018-01-18,2019-01-02,935.8053065568
ABBT6440009,0.018103524,2022-01-18,2022-12-31,542.7581323392001
ABBT6440009,0.031034613,2018-01-18,2019-01-02,935.8053065568
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.031034613,2021-01-18,2021-01-18,0.0
ABBT6440009,0.031034613,2021-01-18,2021-01-18,0.0
ABBT6440009,0.095690057,2018-01-18,2019-01-02,2885.3997027552
ABBT6440009,0.031034613,2019-01-18,2019-01-18,0.0
ABBT6440009,0.031034613,2021-01-18,2021-01-18,0.0
ABBT6440009,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.031034613,2019-01-18,2019-01-18,0.0
ABBT6440009,0.095690057,2018-01-18,2019-01-02,2885.3997027552
ABBT6440009,0.031034613,2021-01-18,2021-01-18,0.0
ABBT6440009,0.0362070485,2021-01-18,2021-01-18,0.0
ABBT6440009,0.0362070485,2021-01-18,2021-01-18,0.0
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.031034613,2017-01-18,2017-01-18,0.0
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.018103524,2021-01-18,2021-01-18,0.0
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.031034613,2017-01-18,2017-01-18,0.0
ABBT6440009,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT6440009,0.031034613,2019-01-18,2019-01-18,0.0
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.031034613,2017-01-18,2017-01-18,0.0
ABBT6440009,0.018103524,2018-01-18,2019-01-02,545.8864212864
ABBT6440009,0.051724355,2020-01-18,2021-01-02,1564.1444952000002
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.018103524,2022-01-18,2022-12-31,542.7581323392001
ABBT6440009,0.031034613,2017-01-18,2017-01-18,0.0
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.069827879,2020-01-18,2021-01-02,2111.59506096
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.095690057,2019-01-18,2019-01-18,0.0
ABBT6440009,0.018103524,2020-01-18,2021-01-02,547.45056576
ABBT6440009,0.031034613,2017-01-18,2017-01-18,0.0
ABBT6440009,0.031034613,2018-01-18,2019-01-02,935.8053065568
ABBT6440009,0.031034613,2019-01-18,2019-01-18,0.0
ABBT6440009,0.095690057,2017-01-18,2017-01-18,0.0
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.031034613,2018-01-18,2019-01-02,935.8053065568
ABBT6440009,0.031034613,2021-01-18,2021-01-18,0.0
ABBT6440009,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT6440009,0.031034613,2020-01-18,2021-01-02,938.48669712
ABBT6440009,0.018103524,2022-01-18,2022-12-31,542.7581323392001
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.031034613,2018-01-18,2019-01-02,935.8053065568
ABBT6440009,0.031034613,2021-01-18,2021-01-18,0.0
ABBT6440009,0.031034613,2019-01-18,2019-01-18,0.0
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.018103524,2017-01-18,2017-01-18,0.0
ABBT6440009,0.031034613,2019-01-18,2019-01-18,0.0
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.018103524,2017-01-18,2017-01-18,0.0
ABBT6440009,0.069827879,2017-01-18,2017-01-18,0.0
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.031034613,2017-01-18,2017-01-18,0.0
ABBT6440009,0.018103524,2022-01-18,2022-12-31,542.7581323392001
ABBT6440009,0.051724355,2020-01-18,2021-01-02,1564.1444952000002
ABBT6440009,0.031034613,2021-01-18,2021-01-18,0.0
ABBT6440009,0.095690057,2020-01-18,2021-01-02,2893.6673236799998
ABBT7390005,0.069827879,2021-01-18,2022-01-02,2105.5619322144003
ABBT7390005,0.031034613,2020-01-18,2020-01-18,0.0
ABBT7390005,0.031034613,2017-01-18,2018-01-02,935.8053065568
ABBT7390005,0.031034613,2020-01-18,2020-01-18,0.0
ABBT7390005,0.095690057,2021-01-18,2022-01-02,2885.3997027552
ABBT7390005,0.031034613,2021-01-18,2022-01-02,935.8053065568
ABBT7390005,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT7390005,0.018103524,2017-01-18,2018-01-02,545.8864212864
ABBT7390005,0.031034613,2021-01-18,2022-01-02,935.8053065568
ABBT7390005,0.031034613,2018-01-18,2019-01-02,935.8053065568
ABBT7390005,0.031034613,2019-01-18,2020-01-02,935.8053065568
ABBT7390005,0.031034613,2017-01-18,2018-01-02,935.8053065568
ABBT7390005,0.018103524,2017-01-18,2018-01-02,545.8864212864
ABBT7390005,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT7390005,0.018103524,2018-01-18,2019-01-02,545.8864212864
ABBT7390005,0.069827879,2017-01-18,2018-01-02,2105.5619322144003
ABBT7390005,0.031034613,2018-01-18,2019-01-02,935.8053065568
ABBT7390005,0.095690057,2020-01-18,2020-01-18,0.0
ABBT7390005,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT7390005,0.031034613,2017-01-18,2018-01-02,935.8053065568
ABBT7390005,0.031034613,2021-01-18,2022-01-02,935.8053065568
ABBT7390005,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT7390005,0.069827879,2019-01-18,2020-01-02,2105.5619322144003
ABBT7390005,0.018103524,2017-01-18,2018-01-02,545.8864212864
ABBT7390005,0.018103524,2018-01-18,2019-01-02,545.8864212864
ABBT7390005,0.031034613,2020-01-18,2020-01-18,0.0
ABBT7390005,0.031034613,2021-01-18,2022-01-02,935.8053065568
ABBT7390005,0.031034613,2021-01-18,2022-01-02,935.8053065568
ABBT7390005,0.069827879,2021-01-18,2022-01-02,2105.5619322144003
ABBT7390005,0.031034613,2017-01-18,2018-01-02,935.8053065568
ABBT7390005,0.069827879,2021-01-18,2022-01-02,2105.5619322144003
ABBT7390005,0.031034613,2019-01-18,2020-01-02,935.8053065568
ABBT7390005,0.031034613,2020-01-18,2020-01-18,0.0
ABBT7390005,0.095690057,2019-01-18,2020-01-02,2885.3997027552
ABBT7390005,0.095690057,2017-01-18,2018-01-02,2885.3997027552
ABBT7390005,0.031034613,2021-01-18,2022-01-02,935.8053065568
ABBT7390005,0.051724355,2019-01-18,2020-01-02,1559.675510928
ABBT7390005,0.031034613,2017-01-18,2018-01-02,935.8053065568
ABBT7390005,0.069827879,2021-01-18,2022-01-02,2105.5619322144003
ABBT7390005,0.018103524,2019-01-18,2020-01-02,545.8864212864
ABBT7390005,0.069827879,2021-01-18,2022-01-02,2105.5619322144003
ABBT7390005,0.095690057,2018-01-18,2019-01-02,2885.3997027552
ABBT7390005,0.031034613,2018-01-18,2019-01-02,935.8053065568
ABBT7390005,0.051724355,2018-01-18,2019-01-02,1559.675510928
ABBT7390005,0.031034613,2019-01-18,2020-01-02,935.8053065568
ABBT7390005,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT7390005,0.031034613,2019-01-18,2020-01-02,935.8053065568
ABBT7390005,0.095690057,2021-01-18,2022-01-02,2885.3997027552
ABBT7390005,0.051724355,2018-01-18,2019-01-02,1559.675510928
ABBT7390005,0.060776117,2021-01-18,2022-01-02,1832.6187215712
ABBT7390005,0.060776117,2021-01-18,2022-01-02,1832.6187215712
ABBT7390005,0.051724355,2020-01-18,2020-01-18,0.0
ABBT7390005,0.095690057,2017-01-18,2018-01-02,2885.3997027552
ABBT7390005,0.095690057,2020-01-18,2020-01-18,0.0
ABBT7390005,0.051724355,2018-01-18,2019-01-02,1559.675510928
ABBT7390005,0.031034613,2021-01-18,2022-01-02,935.8053065568
ABBT7390005,0.031034613,2019-01-18,2020-01-02,935.8053065568
ABBT7390005,0.031034613,2021-01-18,2022-01-02,935.8053065568
ABBT7390005,0.031034613,2017-01-18,2018-01-02,935.8053065568
ABBT7390005,0.031034613,2018-01-18,2019-01-02,935.8053065568
ABBT7390005,0.031034613,2018-01-18,2019-01-02,935.8053065568
ABBT7390005,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT7390005,0.031034613,2017-01-18,2018-01-02,935.8053065568
ABBT7390005,0.031034613,2017-01-18,2018-01-02,935.8053065568
ABBT7390005,0.069827879,2019-01-18,2020-01-02,2105.5619322144003
ABBT7390005,0.031034613,2018-01-18,2019-01-02,935.8053065568
