Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),drone Deployment Cost ($),drone Sites flagged for Follow-Up,drone Leaks tagged for repair,drone Sites Visited,drone Travel Time (Minutes),drone Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,9938.68582,6814.30722,3124.37861,500.00000,3662,3680,0,12,0.00000,0.00000,2400.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-02,9926.17267,6817.43551,3108.73716,500.00000,3663,9,0,5,0.00000,0.00000,1000.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-03,9943.41550,6828.38452,3115.03098,1500.00000,3663,10,0,6,41.00000,0.00000,1200.00000,500.00000,2,,9,300,180,1000.00000,,41,2,60,240
2022-01-04,9960.47212,6840.45078,3120.02135,500.00000,3667,10,0,3,0.00000,0.00000,600.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-05,9970.41561,6845.14321,3125.27240,1000.00000,3670,9,0,4,26.00000,0.00000,800.00000,500.00000,1,,9,300,180,500.00000,,26,1,30,120
2022-01-06,10005.01300,6861.45500,3143.55800,1000.00000,3673,10,0,5,30.00000,0.00000,1000.00000,500.00000,1,,9,300,180,500.00000,,30,1,30,120
2022-01-07,10004.78955,6861.90190,3142.88765,1500.00000,3676,9,0,3,65.00000,0.00000,600.00000,500.00000,3,,9,300,180,1000.00000,,65,3,120,360
2022-01-08,10004.90127,6858.55016,3146.35111,1500.00000,3676,9,0,6,81.00000,0.00000,1200.00000,500.00000,3,,9,300,180,1000.00000,,81,3,120,360
2022-01-09,10008.62543,6848.94185,3159.68358,1500.00000,3681,14,0,8,31.00000,0.00000,1600.00000,500.00000,2,,9,300,180,1000.00000,,31,2,60,240
2022-01-10,10002.59230,6841.79147,3160.80083,500.00000,3680,8,0,7,0.00000,0.00000,1400.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-11,9980.73152,6839.33353,3141.39799,1500.00000,3679,9,0,5,44.00000,0.00000,1000.00000,500.00000,2,,9,300,180,1000.00000,,44,2,60,240
