Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0060675,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0060675,0.018103524,2022-02-13,2022-02-14,1.5641444736
ABBT0060675,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0060675,0.031034613,2022-08-21,2022-08-22,2.6813905632
ABBT0060675,0.031034613,2022-08-21,2022-08-22,2.6813905632
ABBT0060675,0.002586218,2022-09-17,2022-09-18,0.2234492352
ABBT0060675,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0060675,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0060675,0.031034613,2022-12-07,2022-12-08,2.6813905632
ABBT0060675,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0060675,0.095690057,2022-01-26,2022-01-27,8.267620924800001
ABBT0060675,0.031034613,2022-02-04,2022-02-04,0.0
ABBT0060675,0.051724355,2022-01-26,2022-01-27,4.468984272
ABBT0060675,0.095690057,2022-02-22,2022-02-23,8.267620924800001
ABBT0060675,0.031034613,2022-02-04,2022-02-04,0.0
ABBT0060675,0.005172435,2022-11-10,2022-11-11,0.44689838400000004
ABBT0060675,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0060675,0.031034613,2022-07-16,2022-07-17,2.6813905632
ABBT0060675,0.095690057,2022-03-12,2022-03-13,8.267620924800001
ABBT0060675,0.031034613,2022-02-04,2022-02-04,0.0
ABBT0060675,0.031034613,2022-09-26,2022-09-27,2.6813905632
ABBT0060675,0.002586218,2022-12-16,2022-12-17,0.2234492352
ABBT0060675,0.002586218,2022-12-25,2022-12-26,0.2234492352
ABBT0060675,0.031034613,2022-05-14,2022-05-15,2.6813905632
ABBT0060675,0.018103524,2022-03-21,2022-03-22,1.5641444736
ABBT0060675,0.095690057,2022-03-03,2022-03-04,8.267620924800001
ABBT0060675,0.002586218,2022-07-07,2022-07-08,0.2234492352
ABBT0060675,0.002586218,2022-01-26,2022-01-27,0.2234492352
ABBT0060675,0.031034613,2022-06-19,2022-06-20,2.6813905632
ABBT0060675,0.095690057,2022-06-01,2022-06-02,8.267620924800001
ABBT0060675,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0060675,0.031034613,2022-11-01,2022-11-02,2.6813905632
ABBT0060675,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0060675,0.069827879,2022-01-26,2022-01-27,6.0331287456
ABBT0060675,0.051724355,2022-08-21,2022-08-22,4.468984272
ABBT0060675,0.051724355,2022-01-26,2022-01-27,4.468984272
ABBT0060675,0.031034613,2022-03-21,2022-03-22,2.6813905632
ABBT0060675,0.031034613,2022-02-04,2022-02-04,0.0
ABBT0060675,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0060675,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0060675,0.031034613,2022-03-03,2022-03-04,2.6813905632
ABBT0060675,0.002586218,2022-03-21,2022-03-22,0.2234492352
ABBT0060675,0.005172435,2022-06-19,2022-06-20,0.44689838400000004
ABBT0060675,0.018103524,2022-04-26,2022-04-27,1.5641444736
ABBT0060675,0.069827879,2022-05-23,2022-05-24,6.0331287456
ABBT0060675,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0060675,0.050431246,2022-02-04,2022-02-04,0.0
ABBT0060675,0.002586218,2022-02-22,2022-02-23,0.2234492352
ABBT0060675,0.031034613,2022-03-03,2022-03-04,2.6813905632
ABBT0060675,0.031034613,2022-02-04,2022-02-04,0.0
ABBT0060675,0.031034613,2022-01-26,2022-01-27,2.6813905632
ABBT0145239,0.095690057,2022-03-03,2022-03-04,8.267620924800001
ABBT0145239,0.0491381375,2022-02-13,2022-02-14,4.24553508
ABBT0145239,0.0491381375,2022-02-13,2022-02-14,4.24553508
ABBT0145239,0.031034613,2022-03-21,2022-03-22,2.6813905632
ABBT0145239,0.069827879,2022-02-04,2022-02-05,6.0331287456
ABBT0145239,0.031034613,2022-05-23,2022-05-24,2.6813905632
ABBT0145239,0.031034613,2022-01-26,2022-01-26,0.0
ABBT0145239,0.031034613,2022-02-04,2022-02-05,2.6813905632
ABBT0145239,0.005172435,2022-03-12,2022-03-13,0.44689838400000004
ABBT0145239,0.051724355,2022-01-26,2022-01-26,0.0
ABBT0145239,0.002586218,2022-08-30,2022-08-31,0.2234492352
ABBT0145239,0.005172435,2022-04-26,2022-04-27,0.44689838400000004
