Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),truck Deployment Cost ($),truck Sites flagged for Follow-Up,truck Leaks tagged for repair,truck Sites Visited,truck Travel Time (Minutes),truck Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,36980.40324,6066.48324,30913.92000,400.00000,329,332,0,2,0.00000,0.00000,400.00000,400.00000,0,,10,180,270,0.00000,,0,0,0,0
2022-01-02,36997.10660,6083.18660,30913.92000,400.00000,330,1,0,0,0.00000,0.00000,0.00000,400.00000,0,,1,20,30,0.00000,,0,0,0,0
2022-01-03,38161.89667,7247.97667,30913.92000,1000.00000,331,1,0,0,56.00000,0.00000,0.00000,0.00000,9,,0,0,0,1000.00000,,56,3,120,360
2022-01-04,38265.57667,7247.97667,31017.60000,1000.00000,332,1,0,0,40.00000,0.00000,0.00000,0.00000,1,,0,0,0,1000.00000,,40,3,120,360
2022-01-05,38439.03099,7421.43099,31017.60000,1000.00000,334,2,0,0,64.00000,0.00000,0.00000,0.00000,0,,0,0,0,1000.00000,,64,3,120,360
2022-01-06,38147.03913,7423.19913,30723.84000,500.00000,334,1,0,0,21.00000,0.00000,0.00000,0.00000,0,,0,0,0,500.00000,,21,1,30,120
2022-01-07,38060.63913,7423.19913,30637.44000,0.00000,333,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-08,38941.70270,7440.26270,31501.44000,0.00000,336,3,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-09,38964.02770,7462.58770,31501.44000,0.00000,338,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-10,38964.02770,7462.58770,31501.44000,0.00000,338,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
