Emissions ID,Site ID,Equipment,Component,Status,Days Active,Days Emitting,Estimated Days Active,Date Began,Date Repaired or Expired,Theoretical End Date,Mitigated Emissions (Kg Methane),"""True"" Volume Emitted (Kg Methane)","""Estimated"" Volume Emitted (Kg Methane)","""True"" Rate (g/s)","""Measured"" Rate (g/s)",Initially Detected By,Initially Detected Date,Tagged,Tagged By,Recorded,Recorded By,Repairable
0000000000,ABBT0067764,CatalyticHeater,Connector_0,repaired,23,23,9,2022-07-11,2022-08-03,2023-07-11,402.20858448,61.6719829536,,0.031034613,0.031034613,OGI_FU,2022-07-18,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,CatalyticHeater,Regulator_0,active,1,1,0,2022-12-31,,2023-12-31,0.0,8.267620924800001,,0.095690057,,,,False,,N/A,N/A,True
0000000000,ABBT0067764,CatalyticHeater,Valve_0,repaired,25,25,9,2021-08-11,2022-01-26,2022-08-11,528.2339409504001,67.03476408,,0.031034613,0.031034613,stationary,2022-01-01,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0067764,CatalyticHeater,Valve_0,repaired,21,21,11,2022-04-16,2022-05-07,2023-04-16,1967.6937801024,173.62003942080003,,0.095690057,0.095690057,stationary,2022-04-16,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0067764,FlareKnockOutDrum,Connector_1,active,272,272,0,2022-04-04,,2023-04-04,0.0,60.7781919744,,0.002586218,,stationary,2022-04-16,False,,N/A,N/A,True
0000000000,ABBT0067764,FlareKnockOutDrum,Connector_1,repaired,25,25,9,2021-12-25,2022-01-26,2022-12-25,892.9030575456001,67.03476408,,0.031034613,0.031034613,stationary,2022-01-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,FlareKnockOutDrum,Connector_12,repaired,23,23,9,2022-10-18,2022-11-10,2023-10-18,136.75091872320002,61.6719829536,,0.031034613,0.031034613,OGI_FU,2022-10-25,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,FlareKnockOutDrum,Connector_16,repaired,25,25,9,2021-12-20,2022-01-26,2022-12-20,879.4961047296,67.03476408,,0.031034613,0.031034613,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,FlareKnockOutDrum,Connector_31,repaired,22,22,9,2022-02-27,2022-03-21,2023-02-27,764.196310512,58.9905923904,,0.031034613,0.031034613,OGI_FU,2022-03-05,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,FlareKnockOutDrum,Connector_33,repaired,25,25,9,2021-03-10,2022-01-26,2022-03-10,355.5076997664,206.69052312000002,,0.095690057,0.095690057,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,FlareKnockOutDrum,Connector_35,repaired,25,25,9,2021-07-20,2022-01-26,2022-07-20,273.72528288,39.10361184,,0.018103524,0.018103524,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0067764,FlareKnockOutDrum,Valve_2,active,199,199,0,2022-06-16,,2023-06-16,0.0,44.4663978048,,0.002586218,,,,False,,N/A,N/A,True
0000000000,ABBT0067764,FlareKnockOutDrum,Valve_2,repaired,148,148,0,2021-05-29,2022-05-29,2022-05-29,0.0,66.14096083200002,,0.005172435,,,,True,natural,N/A,N/A,True
0000000000,ABBT0067764,GasPipelineHeader,Connector_3,active,148,148,0,2022-08-06,,2023-08-06,0.0,33.070486809600006,,0.002586218,,,,False,,N/A,N/A,True
0000000000,ABBT0067764,GasPipelineHeader,Connector_9,repaired,25,25,9,2021-11-23,2022-01-26,2022-11-23,67.2582197952,5.5862308800000005,,0.002586218,0.010344871,stationary,2022-01-01,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0067764,GasPipelineHeader,Connector_9,repaired,25,25,9,2021-11-28,2022-01-26,2022-11-28,478.6282089216,39.10361184,,0.018103524,0.010344871,stationary,2022-01-01,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,GasPipelineHeader,Connector_14,repaired,25,25,9,2021-05-25,2022-01-26,2022-05-25,319.0854770208,67.03476408,,0.031034613,0.031034613,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,GasPipelineHeader,Connector_26,repaired,19,19,9,2022-09-07,2022-09-26,2023-09-07,257.4134940672,50.946420700800005,,0.031034613,0.031034613,OGI_FU,2022-09-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,GasPipelineHeader,Connector_41,repaired,275,275,0,2021-10-03,2022-10-03,2022-10-03,0.0,61.44853968,,0.002586218,,,,True,natural,N/A,N/A,True
0000000000,ABBT0067764,GasPipelineHeader,Valve_12,active,177,177,0,2022-07-08,,2023-07-08,0.0,39.5505146304,,0.002586218,,,,False,,N/A,N/A,True
0000000000,ABBT0067764,PigTrap(GasService),Connector_0,repaired,21,21,9,2022-01-05,2022-01-26,2023-01-05,908.9914009248,56.3092018272,,0.031034613,0.031034613,stationary,2022-01-05,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,PigTrap(GasService),Connector_1,repaired,23,23,9,2022-08-16,2022-09-08,2023-08-16,305.6785242048,61.6719829536,,0.031034613,0.031034613,OGI_FU,2022-08-23,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,PigTrap(GasService),Connector_12,repaired,24,24,9,2022-07-01,2022-07-25,2023-07-01,426.3410995488,64.3533735168,,0.031034613,0.031034613,OGI_FU,2022-07-09,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,PigTrap(GasService),Valve_0,repaired,141,141,0,2021-05-22,2022-05-22,2022-05-22,0.0,63.01267214400001,,0.005172435,,,,True,natural,N/A,N/A,True
0000000001,ABBT0067764,PigTrap(GasService),Valve_0,repaired,18,18,9,2022-07-16,2022-08-03,2023-07-16,402.20858448,48.26503013760001,,0.031034613,0.031034613,OGI_FU,2022-07-18,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,PopTank,Connector_0,repaired,25,25,9,2021-01-11,2022-01-26,2022-01-11,0.0,67.03476408,,0.031034613,0.041379484,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0067764,PopTank,Connector_0,repaired,25,25,9,2021-04-04,2022-01-26,2022-04-04,303.890930496,111.7246068,,0.051724355,0.041379484,stationary,2022-01-01,True,OGI_FU,N/A,N/A,True
0000000002,ABBT0067764,PopTank,Connector_0,repaired,16,16,9,2022-06-30,2022-07-16,2023-06-30,450.4736146176,42.9022490112,,0.031034613,0.031034613,OGI_FU,2022-06-30,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,PopTank,Connector_1,repaired,19,19,9,2022-02-21,2022-03-12,2023-02-21,2430.6805518912,157.0847975712,,0.095690057,0.095690057,OGI_FU,2022-02-24,True,OGI_FU,N/A,N/A,True
0000000001,ABBT0067764,PopTank,Connector_1,repaired,24,24,9,2022-04-02,2022-04-26,2023-04-02,1502.2490576543998,144.7950898944,,0.069827879,0.069827879,OGI_FU,2022-04-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,ProductionTank(fixedroof-heavyoil),Connector_14,repaired,25,25,9,2021-05-30,2022-01-26,2022-05-30,332.4924298368,67.03476408,,0.031034613,0.031034613,OGI_FU,2022-01-10,True,OGI_FU,N/A,N/A,True
0000000000,ABBT0067764,ProductionTank(fixedroof-heavyoil),Connector_27,repaired,16,16,9,2022-10-07,2022-10-23,2023-10-07,416.2858834464,96.5300599296,,0.069827879,0.069827879,OGI_FU,2022-10-07,True,OGI_FU,N/A,N/A,True
